image_path,prompt,note
/combined_first_frames/combined_12.png,"A medium shot features Akira Toriyama, smiling and wearing glasses, holding the red-haired Super Saiyan God Goku figure. The figure, depicted in its orange gi, stands just a bit larger than Akira's hands, appearing slightly larger than his hand as he holds it. Toriyama gestures towards the figure, looking directly at the camera with an enthusiastic expression, praising it by saying, \""it is very good,\"" clearly promoting it for sale to the audience.",鸟山明带货
/combined_first_frames/combined_15.png,"A wide shot captures a presentation stage. On the left, Sam Altman stands wearing a grey sweatshirt and dark jeans. On the right, Microsoft CEO Satya Nadella stands wearing a blue t-shirt and dark jeans. Positioned in the center of the stage, between the two men, is a black and white humanoid robot. The robot begins to move, turning and walking smoothly towards Sam Altman on the left. The robot stops in front of him and extends its right hand. Sam Altman reaches out with his right hand, and they engage in a handshake, while Satya Nadella looks on from the right side of the stage.",奥特曼握手
/combined_first_frames/combined_16.png,"Cinematic medium shot tracking through a dense, lush jungle environment filled with large trees and green foliage. A large, powerfully built tiger with orange and black stripes walks steadily through the undergrowth. Riding bareback on the tiger is the muscular, shirtless man with long hair, wearing simple brown pants. He sits upright with a commanding and confident posture, moving effortlessly with the animal. The camera follows them, capturing the man's focused expression and his clear dominion over the powerful predator, portraying him as the undisputed king of the forest.",泰山骑虎
/combined_first_frames/combined_19.png,"The video opens in a bright, modern conference room with a long white table. The entire scene is rendered in black and white. Seated at the table are Albert Einstein, and Mahatma Gandhi. The camera focuses on a medium shot of the two figures, slowly panning and cutting between them as they engage in an earnest conversation about world peace. Einstein is shown gesturing thoughtfully, while Gandhi, wearing his glasses and robes, speaks with a calm and focused demeanor, their expressions conveying the importance of their discussion. The stark, contemporary setting contrasts with the historical, black and white figures, highlighting the timeless significance of their ideas.",甘地和爱因斯坦
/combined_first_frames/combined_20.png,"The video opens from a first-person driver's perspective, navigating a multi-lane highway during a heavy downpour. The road is slick with rain, and visibility is poor due to fog and the spray from surrounding cars. Suddenly, a bright red Ferrari F8 Tributo aggressively accelerates from an adjacent lane. The sports car swerves sharply, cutting directly in front of the camera's vehicle with very little space. The camera focuses on the rear of the red Ferrari, its distinctive twin taillights glowing, as it kicks up a massive plume of water and road spray, momentarily blinding the driver before it speeds off into the misty conditions.",下雨开车
/combined_first_frames/combined_21.png,"A medium shot captures Akira Toriyama, smiling warmly and wearing glasses and a blue bomber jacket, sitting in a relaxed indoor setting. He holds two 15cm action figures: one of Goku in his Super Saiyan Blue form and the other of Jiren in his uniform. With a playful expression, Toriyama uses his hands to animate the figures, moving them towards and away from each other to simulate an epic battle, as if bringing his own creations to life. The camera focuses on this mock fight, capturing the dynamic movements of the figures controlled by their creator.",鸟山明带吉人和悟空
/combined_first_frames/combined_22.png,"A medium shot captures Akira Toriyama, smiling warmly and wearing glasses and a blue bomber jacket, sitting in a relaxed indoor setting. He holds two 15cm action figures: one of Goku in his Super Saiyan Blue form and the other of Frieza. With a playful expression, Toriyama uses his hands to animate the figures, moving them towards and away from each other to simulate an epic battle, as if bringing his own creations to life. The camera focuses on this mock fight, capturing the dynamic movements of the figures controlled by their creator.",鸟山明带弗利萨和悟空
/combined_first_frames/combined_23.png,"Film-quality, high-frame-rate animation with dynamic energy effects and strong motion emphasis. The scene takes place in an otherworldly alien landscape featuring green skies, floating clouds, and sparse blue trees extending across the rocky terrain. In the center-left, a muscular fighter with spiky blue hair and an orange martial arts uniform powers up, his aura glowing intensely with blue light that distorts the air around him. He thrusts his open palm forward, unleashing a rapid barrage of energy punches and shockwaves that ripple through the ground. On the right, a bald hero dressed in a yellow jumpsuit with red gloves and boots stands calmly with arms raised defensively, his white cape fluttering from the impact. The camera alternates between wide shots showing explosive energy waves colliding, and close-ups capturing the fierce expressions and precise hand movements of both fighters. The lighting shifts with each attack—blue flashes illuminating the scene while dust and debris swirl under their immense power, emphasizing their superhuman speed and strength in a high-intensity duel.",漫画
/combined_first_frames/combined_24.png,"Against the vast, rocky, reddish-orange landscape of Mars, a sleek, silver humanoid robot stands next to a white, six-wheeled Mars rover. The camera focuses on the humanoid robot as it cautiously extends its articulated black hands towards the rover's main body or robotic arm, appearing to perform a delicate operation, adjustment, or repair on the complex equipment in the desolate Martian environment.",火星机器人
/combined_first_frames/combined_25.png,"A wide, cinematic shot reveals a bright, sunlit European plaza, paved with stone and surrounded by grand, ornate buildings. In the middle of the square, Iron Man stands in his gleaming red and gold armor, his eyes and chest arc reactor glowing a bright blue. Opposite him, Bruce Lee is frozen in a low, ready martial arts stance, shirtless with black pants, his intense gaze fixed on his opponent. The camera slowly zooms in, heightening the tension as the two iconic fighters prepare to begin an epic battle in the public square.",李小龙大战钢铁侠
/combined_first_frames/combined_27.png,"High-quality anime animation. The scene opens with a medium shot of a vibrant school courtyard path, lined with booming pink cherry blossom trees under a bright blue sky. Petals drift down gently. In the center of the path, Monkey D. Luffy and Naruto Uzumaki stand side-by-side, portraying a friendly and casual atmosphere. Monkey D. Luffy, wearing his signature straw hat and red shirt, has a wide, cheerful grin. Perched happily on Monkey D. Luffy's shoulder is Pikachu, looking around excitedly. Naruto Uzumaki , wearing his red and black coat with a large scroll on his back, stands with his arms crossed and a small, knowing smile. The camera slowly pushes in for a medium close-up, focusing on the interaction as Monkey D. Luffy reaches up to playfully pat Pikachu's head, who nuzzles back with a happy ""Pika!"" Naruto Uzumaki watches them with a relaxed, friendly expression.",路飞皮卡丘火影忍者
/combined_first_frames/combined_28.png,"High-quality, cinematic video. The scene opens on a wide shot identical to the main image: Arthur Morgan, in his cowboy hat, sits atop his brown and white pinto horse on a grassy overlook, rifle in hand. He gazes over a valley toward distant, snow-capped mountains. A strange, deafening mechanical roar echoes through the valley. Arthur's head snaps up, his expression turning from calm to confused as he searches the sky. The camera cuts to follow the source of the noise: a modern United Airlines passenger jet, starkly out of place, flying erratically and dangerously low. Smoke billows from one of its engines. A medium shot captures Arthur's utter disbelief. The camera then tracks the airplane as it careens downward, disappearing behind a distant mountain ridge. A moment of silence is broken by a massive, fiery explosion, sending a plume of thick black smoke billowing into the sky. The video ends on a tight shot of Arthur's face, frozen in shock as he witnesses the impossible crash.",荒野嫖客看飞机
/combined_first_frames/combined_30.png,"The video begins from a first-person perspective, simulating the view of someone snorkeling underwater. The setting is a vibrant, clear-blue coral reef, with sunlight filtering through the water's surface from above. As the viewer ""swims"" forward, a large shark, suddenly glides past from one side of the frame to the other. Following this, a sea turtle with a brown patterned shell, gracefully swims by in the opposite direction.",水下海龟鲨鱼
/combined_first_frames/combined_32.png,"A cinematic shot, set in the vast, muddy, prehistoric landscape, captures a surreal scene. The cowboy is firmly seated on the back of the massive, roaring T-rex, using it as a mount. The camera, Arthur, tracks them from a low angle as the T-rex walks with heavy, purposeful steps towards the towering, long-necked Patagotitan mayorums (sauropods) seen in the background by the water. Arthur raises his revolver, takes aim at one of the Patagotitan mayorums, and fires, the action clear and focused.",荒野大嫖客骑恐龙
/combined_first_frames/combined_35.png,"A wide shot establishes a bright, sunlit landscape of rolling green hills and a grassy field with a dirt path, under a blue sky with white clouds. The camera moves forward to focus on two small, 3D animated figures standing in the field. On the left, Crayon Shin-chan, wearing a yellow shirt, blue shorts, and a green cape, strikes a determined, heroic pose with his right fist raised. On the right, the figure of Nezha stands in a low, intense martial arts stance, ready for action. Both characters hold their distinct, dynamic poses against the peaceful, scenic backdrop.",蜡笔小新和哪吒
/combined_first_frames/combined_36.png,"A professional, commercial-style shot opens with the One Punch Man action figure standing heroically in the center of a desolate, destroyed city. The background is filled with smoldering rubble, debris, and the silhouettes of crumbling buildings. The camera slowly pans around the figure, highlighting its iconic yellow suit, red gloves, and flowing white cape. It then pushes in for a dramatic low-angle shot, focusing on the figure's powerful clenched-fist posture, capturing the meticulous detail of the product against the chaotic backdrop.",一拳超人手办
/combined_first_frames/combined_38.png,"High-quality, cinematic video. The scene opens with a wide shot of the humanoid Tesla robot standing in the middle of a vast, rolling green field under a clear blue sky. A small, golden retriever puppy is sitting on the grass near the robot's feet. The camera zooms in to a medium shot as the robot slowly and deliberately raises its articulated hand and lowers it toward the puppy. A close-up shot follows, focusing on the robot's black and white mechanical fingers making gentle contact and stroking the puppy's soft, light-colored fur. The camera may pan slightly to show the puppy's reaction, such as wagging its tail or leaning into the touch.",机器人摸狗
/combined_first_frames/combined_39.png,"A dynamic first-person point of view from a swimmer moving through clear, turquoise ocean water. Sunlight filters down from the surface, casting light patterns on the swimmer's arms as they pull through the water over a sandy seabed. As the swimmer glides forward, a large tiger shark is seen swimming gracefully in the mid-distance. In the same frame, a green sea turtle with a distinctive brown and orange shell glides calmly. The camera maintains this first-person perspective as the swimmer continues to swim forward, passing by the remarkable sight of the shark and turtle coexisting in the water.",海底游泳
/combined_first_frames/combined_40.png,"A wide-angle underwater shot captures a vibrant, sunlit ocean scene with a rippling sandy seabed below. A large, dark submarine glides steadily through the blue water, serving as the ""vessel"" in the mid-ground. Simultaneously, a tiger shark, its distinct stripes visible, swims purposefully near the sandy bottom. A green sea turtle, its brown and orange shell catching the dappled sunlight, paddles gracefully with its flippers, moving across the foreground. The camera pans slowly, keeping all three elements—the submarine, the shark, and the turtle—in frame as they navigate the same stretch of ocean.",海底鲨鱼海龟潜艇
/combined_first_frames/combined_41.png,"A high-quality, cinematic video showcasing three detailed action figures positioned together against the backdrop of a destroyed, smoldering city. The camera dynamically pans and focuses on each figure. It highlights the One-Punch Man figure standing with his white cape flowing and a red-gloved fist raised. Next, it captures the Spider-Man figure in a low, agile crouching pose, showing off the intricate details of his suit. Finally, it features the imposing Venom figure, standing tall and menacingly, displaying its detailed muscular texture. The shot emphasizes the dynamic postures and high-quality detail of each product, as if they are facing off amidst the rubble.",一拳超人毒液蜘蛛侠
/combined_first_frames/combined_44.png,"The video begins from an intense, first-person perspective, capturing a player holding an assault rifle on a grassy slope overlooking a coastal settlement, reminiscent of a PUBG setting. The camera pans slightly, scanning the area, before a vibrant red and black sports car suddenly speeds into the frame on a path below. The player's view immediately snaps towards the car, bringing the rifle's iron sights into focus. The camera shakes violently with simulated recoil as the player fires at the vehicle, attempting to track and neutralize the moving target.",游戏打车
/combined_first_frames/combined_45.png,"A high-definition, first-person video game perspective, viewed through the player's eyes holding a rifle equipped with a holographic sight. The player is standing on the dirt shoulder of an empty, cracked asphalt road. In the distance, a red and black muscle car drives rapidly down the road, straight towards the player. The player raises the rifle, aims down the sight, and begins to fire at the approaching vehicle. Sparks and smoke erupt from the car's engine block upon impact, and it quickly bursts into bright orange flames, continuing to speed forward as a fiery wreck.",游戏打车1
/combined_first_frames/combined_47.png,"A video scene unfolds in a vast, golden wheat field under a blue sky, with a red smoke flare billowing from a supply crate in the mid-ground. In the foreground, the character Wukong, in his ornate armor, stands next to a soldier wearing a helmet and tactical gear. The soldier holds a blue iPhone, gesturing with it, while Wukong holds a VR headset. The two characters are positioned side-by-side, appearing to be in an animated discussion, comparing and talking about the two different technology products they are holding.",悟空吃鸡带货
/combined_first_frames/combined_48.png,"A thrilling first-person perspective from the cockpit of a race car, showing the driver's gloved hands gripping the steering wheel. The car speeds down a wide racetrack, rapidly closing in on two cars ahead: a white sedan and a yellow modified hatchback. These two cars are actively dueling for position, with the yellow modified hatchback seen attempting to weave and overtake the white sedan as the POV driver follows closely behind the battle.",开赛车游戏
/combined_first_frames/combined_50.png,"A wide, cinematic shot establishes the scene: a nighttime city skyline under a full moon, prominently featuring the illuminated Avengers Tower. In the foreground, standing in a line, are four distinct figures, each captured in their iconic ""power pose"" and exhibiting subtle movements. First is Saitama, standing confidently in his yellow hero suit and white cape. Next to him is the massive, black-suited Venom, his muscular and veiny form shifting slightly. Beside him, Spider-Man is crouched low in his red, blue, and gold Iron Spider suit, poised for action. Finally, Monkey D. Luffy stands in a dynamic martial arts stance, wearing his straw hat and red shirt. The camera holds on this line-up as each character makes small, characteristic movements to showcase their power against the urban backdrop.",四手办
/combined_first_frames/combined_53.png,"The video unfolds from a thrilling first-person perspective, placing the viewer in the driver's seat of a race car. We see the driver's hands with all black racing gloves, gripping the detailed carbon-fiber steering wheel as the car speeds down the track. Directly ahead, a silver sports car with distinctive round taillights and a dark navy blue sports car with a large rear spoiler are in a heated battle. The two cars are driving side-by-side, aggressively weaving as they try to pass one another, while the FPV car rapidly closes in on them from behind.",开车
/combined_first_frames/combined_54.png,"A high-speed, first-person video captured from the driver's seat of a car, showing the dashboard and hands gripping the steering wheel. The camera pursues two other vehicles driving aggressively through city streets. The targets are a vibrant red supercar, seen from the rear with its distinctive louvered engine cover and wide black grilles, and a sleek grey sports coupe, also seen from the rear with its quad exhaust pipes. These two cars weave rapidly through traffic, accelerating and braking hard as if in a race, while the camera car attempts to follow closely behind them.",模拟开车
/combined_first_frames/25_combined.png,"The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. The car travels rapidly along a multi-lane single-direction highway under clear daylight. Ahead, an **ambulance with flashing red and blue emergency lights** speeds in the same direction. Far ahead, an F-22 Raptor fighter jet aircraft descends rapidly, deploying its landing gear and aligning precisely with the center of the highway. The car’s sensors and autopilot react instantly, adjusting speed and lane position to accommodate the incoming aircraft.",
/combined_first_frames/9_combined.png,"High-definition, film quality. The video opens on the desolate, grey landscape of the Moon, with the Lunar Module and American flag visible in the background. An astronaut in a bulky white spacesuit is seen taking slow, bounding steps across the dusty surface. The camera pans slightly to reveal a second figure entering the frame: a tall, slender, grey alien with a large head and oversized black eyes. The alien walks steadily and directly towards the astronaut and then shakes the hand with the astronaut.",
/combined_first_frames/33_combined.png,"The scene begins from a **first-person perspective inside a modern autonomous electric car**, showing the sleek interior with a large digital dashboard displaying a navigation route and vehicle speed. An ambulance car has a white body with red horizontal stripes and medical symbols (blue star of life) on the sides, with flashing red and blue lights leads the flow of traffic. On the left, a red convertible car is following the ambulance car.",
/combined_first_frames/45_combined.png,"Film-quality, laboratory lighting with realistic robotic motion and object interaction. A **wooden cube block** rests on the tabletop in front of the robot. The camera captures a close-up as the robotic arm activates, its white and gray joints rotating smoothly while the orange-tipped gripper opens precisely. The robot’s gripper lowers toward the wooden cube, aligning its claws with the edges for an accurate grasp. After gripping securely, the arm lifts the cube vertically and moves the cube above a **wooden tray**, gently lowering it into the center before releasing and retracting. The video emphasizes the robot’s precision, dexterity, and coordinated motion control throughout the entire pick-and-place sequence.",
